timestamp,timestamp_local,ax,ay,az,fall_state
1,2024-02-27 22:00:01,-0.7120270625676177,0.9528220320334979,-0.4569732001699711,1
1,2024-02-27 22:00:01,-0.6198805612138898,-0.2830664305831885,-0.836803425460358,1
1,2024-02-27 22:00:01,-0.1964968891871972,-0.29827832529158127,0.6986045180416558,1
1,2024-02-27 22:00:01,-0.8853055765127218,-0.04562846766950579,-0.7152736663900874,1
1,2024-02-27 22:00:01,-0.764444870575645,0.2681704352313261,-0.4118046385336993,1
1,2024-02-27 22:00:01,-0.47441724907092464,0.39470370295539237,0.3359530511308306,1
1,2024-02-27 22:00:01,-0.34691103288724245,-0.5264303109133497,0.761834470202299,1
1,2024-02-27 22:00:01,-0.3916548630616177,0.316443626441703,0.46289202083589687,1
1,2024-02-27 22:00:01,-0.005375844607949265,-0.9733203052287125,0.5958454572041989,1
1,2024-02-27 22:00:01,0.09993132234733038,-0.1653321854491394,-0.6770904480588935,1
1,2024-02-27 22:00:01,0.6478233390014789,-0.5717387129174922,0.14809689430010642,1
1,2024-02-27 22:00:01,-0.7594542333166128,-0.03723683570323866,0.8904428497190342,1
1,2024-02-27 22:00:01,-0.15996602430441142,-0.5452633902859605,-0.012991708604118246,1
1,2024-02-27 22:00:01,-0.5676048115260719,0.7861752698447453,0.426745365854619,1
1,2024-02-27 22:00:01,-0.30487795271419205,-0.445578077328489,0.9144463119838344,1
1,2024-02-27 22:00:01,0.9888664580817732,-0.9365834385835587,-0.7853468247873205,1
1,2024-02-27 22:00:01,0.3709053488053129,-0.9043184337295473,0.8260194114742416,1
1,2024-02-27 22:00:01,-0.6687285046015645,-0.4819879349510474,0.9936141218330561,1
1,2024-02-27 22:00:01,-0.23502678362649077,-0.8064440992951836,-0.6892241926591645,1
1,2024-02-27 22:00:01,-0.6137202828254482,0.20843636937202126,-0.34728937161807627,1
1,2024-02-27 22:00:01,0.3573924831429065,-0.40277806654279447,0.5842605764822153,1
